workflow_id,execution_id,start_time,end_time,duration,success,error_message,steps
DataPipeline,DataPipeline_0_0,2025-06-26 17:34:00.503095,2025-06-26 18:01:18.503095,1638.0,True,,"[{'step_id': 'step_1', 'step_name': 'DataPipeline_Step1', 'start_time': datetime.datetime(2025, 6, 26, 17, 34, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 17, 40, 28, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'DataPipeline_Step2', 'start_time': datetime.datetime(2025, 6, 26, 17, 40, 28, 3095), 'end_time': datetime.datetime(2025, 6, 26, 17, 47, 34, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'DataPipeline_Step3', 'start_time': datetime.datetime(2025, 6, 26, 17, 47, 34, 503095), 'end_time': datetime.datetime(2025, 6, 26, 17, 54, 0, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'DataPipeline_Step4', 'start_time': datetime.datetime(2025, 6, 26, 17, 54, 0, 3095), 'end_time': datetime.datetime(2025, 6, 26, 18, 1, 2, 503095), 'success': True, 'error_message': ''}]"
DataPipeline,DataPipeline_0_1,2025-06-26 18:18:00.503095,2025-06-26 18:22:58.503095,298.0,True,,"[{'step_id': 'step_1', 'step_name': 'DataPipeline_Step1', 'start_time': datetime.datetime(2025, 6, 26, 18, 18, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 18, 19, 10, 836428), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'DataPipeline_Step2', 'start_time': datetime.datetime(2025, 6, 26, 18, 19, 10, 836428), 'end_time': datetime.datetime(2025, 6, 26, 18, 20, 25, 169761), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'DataPipeline_Step3', 'start_time': datetime.datetime(2025, 6, 26, 18, 20, 25, 169761), 'end_time': datetime.datetime(2025, 6, 26, 18, 21, 47, 503094), 'success': True, 'error_message': ''}]"
DataPipeline,DataPipeline_0_2,2025-06-26 09:45:00.503095,2025-06-26 09:47:54.503095,174.0,True,,"[{'step_id': 'step_1', 'step_name': 'DataPipeline_Step1', 'start_time': datetime.datetime(2025, 6, 26, 9, 45, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 9, 45, 13, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'DataPipeline_Step2', 'start_time': datetime.datetime(2025, 6, 26, 9, 45, 13, 503095), 'end_time': datetime.datetime(2025, 6, 26, 9, 45, 40, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'DataPipeline_Step3', 'start_time': datetime.datetime(2025, 6, 26, 9, 45, 40, 503095), 'end_time': datetime.datetime(2025, 6, 26, 9, 46, 16, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'DataPipeline_Step4', 'start_time': datetime.datetime(2025, 6, 26, 9, 46, 16, 503095), 'end_time': datetime.datetime(2025, 6, 26, 9, 46, 32, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_5', 'step_name': 'DataPipeline_Step5', 'start_time': datetime.datetime(2025, 6, 26, 9, 46, 32, 503095), 'end_time': datetime.datetime(2025, 6, 26, 9, 47, 22, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_6', 'step_name': 'DataPipeline_Step6', 'start_time': datetime.datetime(2025, 6, 26, 9, 47, 22, 503095), 'end_time': datetime.datetime(2025, 6, 26, 9, 48, 16, 503095), 'success': True, 'error_message': ''}]"
DataPipeline,DataPipeline_0_3,2025-06-26 07:58:00.503095,2025-06-26 08:23:49.503095,1549.0,True,,"[{'step_id': 'step_1', 'step_name': 'DataPipeline_Step1', 'start_time': datetime.datetime(2025, 6, 26, 7, 58, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 8, 2, 49, 303095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'DataPipeline_Step2', 'start_time': datetime.datetime(2025, 6, 26, 8, 2, 49, 303095), 'end_time': datetime.datetime(2025, 6, 26, 8, 7, 42, 103095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'DataPipeline_Step3', 'start_time': datetime.datetime(2025, 6, 26, 8, 7, 42, 103095), 'end_time': datetime.datetime(2025, 6, 26, 8, 13, 9, 903095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'DataPipeline_Step4', 'start_time': datetime.datetime(2025, 6, 26, 8, 13, 9, 903095), 'end_time': datetime.datetime(2025, 6, 26, 8, 18, 10, 703095), 'success': True, 'error_message': ''}, {'step_id': 'step_5', 'step_name': 'DataPipeline_Step5', 'start_time': datetime.datetime(2025, 6, 26, 8, 18, 10, 703095), 'end_time': datetime.datetime(2025, 6, 26, 8, 22, 56, 503095), 'success': True, 'error_message': ''}]"
DataPipeline,DataPipeline_0_4,2025-06-26 08:42:00.503095,2025-06-26 08:56:15.503095,855.0,False,ResourceLimitExceeded,"[{'step_id': 'step_1', 'step_name': 'DataPipeline_Step1', 'start_time': datetime.datetime(2025, 6, 26, 8, 42, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 8, 45, 12, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'DataPipeline_Step2', 'start_time': datetime.datetime(2025, 6, 26, 8, 45, 12, 503095), 'end_time': datetime.datetime(2025, 6, 26, 8, 48, 2, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'DataPipeline_Step3', 'start_time': datetime.datetime(2025, 6, 26, 8, 48, 2, 503095), 'end_time': datetime.datetime(2025, 6, 26, 8, 51, 22, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'DataPipeline_Step4', 'start_time': datetime.datetime(2025, 6, 26, 8, 51, 22, 503095), 'end_time': datetime.datetime(2025, 6, 26, 8, 54, 18, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_5', 'step_name': 'DataPipeline_Step5', 'start_time': datetime.datetime(2025, 6, 26, 8, 54, 18, 503095), 'end_time': datetime.datetime(2025, 6, 26, 8, 57, 19, 503095), 'success': True, 'error_message': ''}]"
MLTraining,MLTraining_0_0,2025-06-26 12:42:00.503095,2025-06-26 13:08:02.503095,1562.0,True,,"[{'step_id': 'step_1', 'step_name': 'MLTraining_Step1', 'start_time': datetime.datetime(2025, 6, 26, 12, 42, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 12, 48, 50, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'MLTraining_Step2', 'start_time': datetime.datetime(2025, 6, 26, 12, 48, 50, 3095), 'end_time': datetime.datetime(2025, 6, 26, 12, 55, 8, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'MLTraining_Step3', 'start_time': datetime.datetime(2025, 6, 26, 12, 55, 8, 503095), 'end_time': datetime.datetime(2025, 6, 26, 13, 1, 14, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'MLTraining_Step4', 'start_time': datetime.datetime(2025, 6, 26, 13, 1, 14, 3095), 'end_time': datetime.datetime(2025, 6, 26, 13, 8, 8, 503095), 'success': True, 'error_message': ''}]"
MLTraining,MLTraining_0_1,2025-06-26 11:13:00.503095,2025-06-26 11:27:58.503095,898.0,True,,"[{'step_id': 'step_1', 'step_name': 'MLTraining_Step1', 'start_time': datetime.datetime(2025, 6, 26, 11, 13, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 11, 15, 40, 103095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'MLTraining_Step2', 'start_time': datetime.datetime(2025, 6, 26, 11, 15, 40, 103095), 'end_time': datetime.datetime(2025, 6, 26, 11, 18, 32, 703095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'MLTraining_Step3', 'start_time': datetime.datetime(2025, 6, 26, 11, 18, 32, 703095), 'end_time': datetime.datetime(2025, 6, 26, 11, 21, 24, 303095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'MLTraining_Step4', 'start_time': datetime.datetime(2025, 6, 26, 11, 21, 24, 303095), 'end_time': datetime.datetime(2025, 6, 26, 11, 24, 6, 903095), 'success': True, 'error_message': ''}, {'step_id': 'step_5', 'step_name': 'MLTraining_Step5', 'start_time': datetime.datetime(2025, 6, 26, 11, 24, 6, 903095), 'end_time': datetime.datetime(2025, 6, 26, 11, 27, 18, 503095), 'success': True, 'error_message': ''}]"
MLTraining,MLTraining_0_2,2025-06-26 10:47:00.503095,2025-06-26 11:11:07.503095,1447.0,True,,"[{'step_id': 'step_1', 'step_name': 'MLTraining_Step1', 'start_time': datetime.datetime(2025, 6, 26, 10, 47, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 10, 53, 6, 253095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'MLTraining_Step2', 'start_time': datetime.datetime(2025, 6, 26, 10, 53, 6, 253095), 'end_time': datetime.datetime(2025, 6, 26, 10, 59, 24, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'MLTraining_Step3', 'start_time': datetime.datetime(2025, 6, 26, 10, 59, 24, 3095), 'end_time': datetime.datetime(2025, 6, 26, 11, 5, 10, 753095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'MLTraining_Step4', 'start_time': datetime.datetime(2025, 6, 26, 11, 5, 10, 753095), 'end_time': datetime.datetime(2025, 6, 26, 11, 10, 52, 503095), 'success': True, 'error_message': ''}]"
MLTraining,MLTraining_0_3,2025-06-26 14:20:00.503095,2025-06-26 14:43:50.503095,1430.0,True,,"[{'step_id': 'step_1', 'step_name': 'MLTraining_Step1', 'start_time': datetime.datetime(2025, 6, 26, 14, 20, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 14, 26, 11, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'MLTraining_Step2', 'start_time': datetime.datetime(2025, 6, 26, 14, 26, 11, 3095), 'end_time': datetime.datetime(2025, 6, 26, 14, 31, 58, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'MLTraining_Step3', 'start_time': datetime.datetime(2025, 6, 26, 14, 31, 58, 503095), 'end_time': datetime.datetime(2025, 6, 26, 14, 38, 19, 3095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'MLTraining_Step4', 'start_time': datetime.datetime(2025, 6, 26, 14, 38, 19, 3095), 'end_time': datetime.datetime(2025, 6, 26, 14, 44, 35, 503095), 'success': True, 'error_message': ''}]"
MLTraining,MLTraining_0_4,2025-06-26 19:04:00.503095,2025-06-26 19:07:05.503095,185.0,False,DataValidationError,"[{'step_id': 'step_1', 'step_name': 'MLTraining_Step1', 'start_time': datetime.datetime(2025, 6, 26, 19, 4, 0, 503095), 'end_time': datetime.datetime(2025, 6, 26, 19, 4, 11, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_2', 'step_name': 'MLTraining_Step2', 'start_time': datetime.datetime(2025, 6, 26, 19, 4, 11, 503095), 'end_time': datetime.datetime(2025, 6, 26, 19, 5, 18, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_3', 'step_name': 'MLTraining_Step3', 'start_time': datetime.datetime(2025, 6, 26, 19, 5, 18, 503095), 'end_time': datetime.datetime(2025, 6, 26, 19, 6, 10, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_4', 'step_name': 'MLTraining_Step4', 'start_time': datetime.datetime(2025, 6, 26, 19, 6, 10, 503095), 'end_time': datetime.datetime(2025, 6, 26, 19, 6, 58, 503095), 'success': True, 'error_message': ''}, {'step_id': 'step_5', 'step_name': 'MLTraining_Step5', 'start_time': datetime.datetime(2025, 6, 26, 19, 6, 58, 503095), 'end_time': datetime.datetime(2025, 6, 26, 19, 8, 1, 503095), 'success': False, 'error_message': 'Step failed'}]"
